Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation_tmp_20260206\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 7 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_100.txt --cnum 100 --enum 100 --dnum 300 --tnum 100 --mopt 5 --cchihh_no_migration
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 7
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8196
Gen 50: best_fit = 55.2734
Gen 100: best_fit = 55.2272
Gen 150: best_fit = 55.1702
Gen 200: best_fit = 55.1603
Gen 250: best_fit = 55.1443
Gen 300: best_fit = 55.1443
Gen 350: best_fit = 55.1443
Gen 400: best_fit = 55.1252
Gen 450: best_fit = 55.1138
Gen 500: best_fit = 55.1104
Gen 550: best_fit = 55.0889
Gen 600: best_fit = 55.0849
Gen 650: best_fit = 55.0744
Gen 700: best_fit = 55.051
Gen 750: best_fit = 55.0498
Gen 800: best_fit = 55.0498
Gen 850: best_fit = 55.0498
Gen 900: best_fit = 55.0257
Gen 950: best_fit = 55.0257
Gen 1000: best_fit = 55.0251
Gen 1050: best_fit = 55.0193
Gen 1100: best_fit = 55.0149
