Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 5 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T300_E150_D500.txt --cnum 150 --enum 150 --dnum 500 --tnum 300 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T300_E150_D500.txt
Generations: 10000
Population size: 40
Random seed: 5
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 150/150/500/300/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T300_E150_D500.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=300, M_Jnum=300, M_OPTnum=5, ops=1500
  Nvar=3600, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=600
  Block 1 (seq): start=600, len=1500
  Block 2 (dev): start=2100, len=1500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 1933.61
Gen 50: best_fit = 1689.05
Gen 100: best_fit = 1577.33
Gen 150: best_fit = 1477.69
Gen 200: best_fit = 1424.84
Gen 250: best_fit = 1411.57
Gen 300: best_fit = 1370.91
Gen 350: best_fit = 1358.05
Gen 400: best_fit = 1340.92
Gen 450: best_fit = 1336.04
Gen 500: best_fit = 1327.86
Gen 550: best_fit = 1318.2
Gen 600: best_fit = 1313.96
Gen 650: best_fit = 1307.47
Gen 700: best_fit = 1300.59
Gen 750: best_fit = 1298.75
Gen 800: best_fit = 1294.6
Gen 850: best_fit = 1291.9
Gen 900: best_fit = 1289.67
Gen 950: best_fit = 1288.19
Gen 1000: best_fit = 1286.05
Gen 1050: best_fit = 1284.61
Gen 1100: best_fit = 1272.02
