Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 1 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T300_E150_D500.txt --cnum 150 --enum 150 --dnum 500 --tnum 300 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T300_E150_D500.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 150/150/500/300/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T300_E150_D500.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=300, M_Jnum=300, M_OPTnum=5, ops=1500
  Nvar=3600, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=600
  Block 1 (seq): start=600, len=1500
  Block 2 (dev): start=2100, len=1500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2400.03
Gen 50: best_fit = 1650.49
Gen 100: best_fit = 1565.4
Gen 150: best_fit = 1517.11
Gen 200: best_fit = 1496.09
Gen 250: best_fit = 1455.71
Gen 300: best_fit = 1440.17
Gen 350: best_fit = 1406.25
Gen 400: best_fit = 1377.13
Gen 450: best_fit = 1367.54
Gen 500: best_fit = 1350.9
Gen 550: best_fit = 1337.71
Gen 600: best_fit = 1331.61
Gen 650: best_fit = 1319.4
Gen 700: best_fit = 1315.19
Gen 750: best_fit = 1308.59
Gen 800: best_fit = 1303.9
Gen 850: best_fit = 1302.07
Gen 900: best_fit = 1299.77
Gen 950: best_fit = 1289.95
Gen 1000: best_fit = 1283.74
Gen 1050: best_fit = 1281.72
Gen 1100: best_fit = 1279.94
