Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation_tmp_20260206\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 6 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5 --no_blocks
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: disabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Full-space block: len=6000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2113.13
Gen 50: best_fit = 2080.09
Gen 100: best_fit = 2061.24
Gen 150: best_fit = 2057.34
Gen 200: best_fit = 2015.24
Gen 250: best_fit = 2013.24
Gen 300: best_fit = 2010.76
Gen 350: best_fit = 2008.56
Gen 400: best_fit = 2001.95
Gen 450: best_fit = 1999.76
Gen 500: best_fit = 1991.7
Gen 550: best_fit = 1986.56
Gen 600: best_fit = 1981.25
Gen 650: best_fit = 1980.6
Gen 700: best_fit = 1979.57
Gen 750: best_fit = 1972.23
Gen 800: best_fit = 1969.33
Gen 850: best_fit = 1967.86
Gen 900: best_fit = 1963.92
Gen 950: best_fit = 1960.69
Gen 1000: best_fit = 1959.65
Gen 1050: best_fit = 1952.73
Gen 1100: best_fit = 1945.67
Gen 1150: best_fit = 1944.1
Gen 1200: best_fit = 1941.04
Gen 1250: best_fit = 1940.15
