Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\build_local\Release\CED_Schedule.exe' --solver CCHIHH --stable --cchihh_no_migration --seed 8 --generations 10000 --log_every 50 --nsubpop 8 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH blocks: enabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8057
Gen 50: best_fit = 55.7459
Gen 100: best_fit = 55.7271
Gen 150: best_fit = 55.7231
Gen 200: best_fit = 55.7163
Gen 250: best_fit = 55.7163
Gen 300: best_fit = 55.7126
Gen 350: best_fit = 55.6917
Gen 400: best_fit = 55.6848
Gen 450: best_fit = 55.6816
Gen 500: best_fit = 55.6795
Gen 550: best_fit = 55.661
Gen 600: best_fit = 55.6555
Gen 650: best_fit = 55.6509
Gen 700: best_fit = 55.6372
Gen 750: best_fit = 55.6344
Gen 800: best_fit = 55.6223
Gen 850: best_fit = 55.6216
Gen 900: best_fit = 55.6216
Gen 950: best_fit = 55.6173
Gen 1000: best_fit = 55.6095
Gen 1050: best_fit = 55.6081
Gen 1100: best_fit = 55.5964
Gen 1150: best_fit = 55.5926
