Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '1' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
Gen 4900: best_fit = 0.488057
Gen 4950: best_fit = 0.488057
Gen 5000: best_fit = 0.487998
Gen 5050: best_fit = 0.487998
Gen 5100: best_fit = 0.487948
Gen 5150: best_fit = 0.487906
Gen 5200: best_fit = 0.487906
Gen 5250: best_fit = 0.487851
Gen 5300: best_fit = 0.487851
Gen 5350: best_fit = 0.487805
Gen 5400: best_fit = 0.487805
Gen 5450: best_fit = 0.487805
Gen 5500: best_fit = 0.4878
Gen 5550: best_fit = 0.487746
Gen 5600: best_fit = 0.487695
Gen 5650: best_fit = 0.487649
Gen 5700: best_fit = 0.487649
Gen 5750: best_fit = 0.487602
Gen 5800: best_fit = 0.487556
Gen 5850: best_fit = 0.487543
Gen 5900: best_fit = 0.487543
Gen 5950: best_fit = 0.487493
Gen 6000: best_fit = 0.487442
Gen 6050: best_fit = 0.487442
Gen 6100: best_fit = 0.487387
Gen 6150: best_fit = 0.487337
Gen 6200: best_fit = 0.487328
Gen 6250: best_fit = 0.487328
Gen 6300: best_fit = 0.487328
Gen 6350: best_fit = 0.487328
Gen 6400: best_fit = 0.487282
Gen 6450: best_fit = 0.487282
Gen 6500: best_fit = 0.487236
Gen 6550: best_fit = 0.487147
Gen 6600: best_fit = 0.487147
Gen 6650: best_fit = 0.487059
Gen 6700: best_fit = 0.487059
Gen 6750: best_fit = 0.487059
Gen 6800: best_fit = 0.487059
Gen 6850: best_fit = 0.487059
Gen 6900: best_fit = 0.487059
Gen 6950: best_fit = 0.487059
Gen 7000: best_fit = 0.486966
Gen 7050: best_fit = 0.486966
Gen 7100: best_fit = 0.486962
Gen 7150: best_fit = 0.486957
Gen 7200: best_fit = 0.486957
Gen 7250: best_fit = 0.486957
Gen 7300: best_fit = 0.486953
Gen 7350: best_fit = 0.486915
Gen 7400: best_fit = 0.486915
Gen 7450: best_fit = 0.486915
Gen 7500: best_fit = 0.486915
Gen 7550: best_fit = 0.486915
Gen 7600: best_fit = 0.486915
Gen 7650: best_fit = 0.486915
Gen 7700: best_fit = 0.486865
Gen 7750: best_fit = 0.486865
Gen 7800: best_fit = 0.486865
Gen 7850: best_fit = 0.486865
Gen 7900: best_fit = 0.486865
Gen 7950: best_fit = 0.486861
Gen 8000: best_fit = 0.486802
Gen 8050: best_fit = 0.486802
Gen 8100: best_fit = 0.486802
Gen 8150: best_fit = 0.486802
Gen 8200: best_fit = 0.486802
Gen 8250: best_fit = 0.486802
Gen 8300: best_fit = 0.486802
Gen 8350: best_fit = 0.486802
Gen 8400: best_fit = 0.486802
Gen 8450: best_fit = 0.486755
Gen 8500: best_fit = 0.486755
Gen 8550: best_fit = 0.486755
Gen 8600: best_fit = 0.486747
Gen 8650: best_fit = 0.486747
Gen 8700: best_fit = 0.486747
Gen 8750: best_fit = 0.486747
Gen 8800: best_fit = 0.486747
Gen 8850: best_fit = 0.486747
Gen 8900: best_fit = 0.486692
Gen 8950: best_fit = 0.486692
Gen 9000: best_fit = 0.486692
Gen 9050: best_fit = 0.486692
Gen 9100: best_fit = 0.486692
Gen 9150: best_fit = 0.486692
Gen 9200: best_fit = 0.486692
Gen 9250: best_fit = 0.486692
Gen 9300: best_fit = 0.486688
Gen 9350: best_fit = 0.486688
Gen 9400: best_fit = 0.486688
Gen 9450: best_fit = 0.486688
Gen 9500: best_fit = 0.486646
Gen 9550: best_fit = 0.486646
Gen 9600: best_fit = 0.486646
Gen 9650: best_fit = 0.486646
Gen 9700: best_fit = 0.486646
Gen 9750: best_fit = 0.486646
Gen 9800: best_fit = 0.486599
Gen 9850: best_fit = 0.486595
Gen 9900: best_fit = 0.486595
Gen 9950: best_fit = 0.486561
Gen 10000: best_fit = 0.486561

=== Final Results (CGA) ===
Solver: CGA
Generations = 10000
Best generation = 9921
Catastrophe triggers = 1
Best fitness = 0.486561
The best solution = 0.486561
Time = 74.208 s

exit code 0
Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CGA --seed 1 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_100.txt --cnum 100 --enum 100 --dnum 300 --tnum 100 --mopt 5

exit code 0
