Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\build_local\Release\CED_Schedule.exe' --solver CCHIHH --stable --cchihh_no_migration --seed 6 --generations 10000 --log_every 50 --nsubpop 8 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH blocks: enabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8196
Gen 50: best_fit = 55.7475
Gen 100: best_fit = 55.7441
Gen 150: best_fit = 55.7404
Gen 200: best_fit = 55.7404
Gen 250: best_fit = 55.737
Gen 300: best_fit = 55.7256
Gen 350: best_fit = 55.7127
Gen 400: best_fit = 55.6914
Gen 450: best_fit = 55.6834
Gen 500: best_fit = 55.6834
Gen 550: best_fit = 55.6791
Gen 600: best_fit = 55.6631
Gen 650: best_fit = 55.6609
Gen 700: best_fit = 55.6501
Gen 750: best_fit = 55.6501
Gen 800: best_fit = 55.6455
Gen 850: best_fit = 55.6421
Gen 900: best_fit = 55.6375
Gen 950: best_fit = 55.6335
Gen 1000: best_fit = 55.6335
Gen 1050: best_fit = 55.6304
Gen 1100: best_fit = 55.6304
Gen 1150: best_fit = 55.6304
