Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 4 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 4
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8032
Gen 50: best_fit = 55.737
Gen 100: best_fit = 55.6945
Gen 150: best_fit = 55.6677
Gen 200: best_fit = 55.6578
Gen 250: best_fit = 55.6409
Gen 300: best_fit = 55.6227
Gen 350: best_fit = 55.5993
Gen 400: best_fit = 55.5891
Gen 450: best_fit = 55.5654
Gen 500: best_fit = 55.5546
Gen 550: best_fit = 55.5374
Gen 600: best_fit = 55.5257
Gen 650: best_fit = 55.5149
Gen 700: best_fit = 55.5078
Gen 750: best_fit = 55.4915
Gen 800: best_fit = 55.4838
Gen 850: best_fit = 55.4798
Gen 900: best_fit = 55.469
Gen 950: best_fit = 55.4601
Gen 1000: best_fit = 55.4493
Gen 1050: best_fit = 55.4456
Gen 1100: best_fit = 55.4345
Gen 1150: best_fit = 55.4182
Gen 1200: best_fit = 55.4154
Gen 1250: best_fit = 55.4077
Gen 1300: best_fit = 55.4009
Gen 1350: best_fit = 55.3941
