Command: 'build_codex\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--data_dir' 'data' '--data_file' 'data_matrix_T500_E200_D800.txt' '--generations' '10000' '--log_every' '50' '--nsubpop' '8' '--seed' '5' '--cnum' '200' '--enum' '200' '--dnum' '800' '--tnum' '500' '--mopt' '5' '--cchihh_op_stats' 'results\operator_ablation\T500\roundrobin\op_freq_roundrobin_T500_run4.csv' '--cchihh_op_stats_every' '50' '--cchihh_global_stats' 'results\operator_ablation\T500\roundrobin\global_stats_roundrobin_T500_run4.csv' '--cchihh_global_stats_every' '50' '--op_mode' 'roundrobin'
=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 5
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: roundrobin
CCHIHH fixed ops: disabled
CCHIHH op stats: results\operator_ablation\T500\roundrobin\op_freq_roundrobin_T500_run4.csv
CCHIHH global stats: results\operator_ablation\T500\roundrobin\global_stats_roundrobin_T500_run4.csv
=================================
[Initial] Loading data from: "data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 46742.7
[Normalization] f2_ref (energy) = 5815.55
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.069166
Gen 50: best_fit = 0.0533662
Gen 100: best_fit = 0.0500849
Gen 150: best_fit = 0.0476553
Gen 200: best_fit = 0.0458962
Gen 250: best_fit = 0.0440771
Gen 300: best_fit = 0.0429001
Gen 350: best_fit = 0.042125
Gen 400: best_fit = 0.0412428
Gen 450: best_fit = 0.0402175
Gen 500: best_fit = 0.0394884
Gen 550: best_fit = 0.0388687
Gen 600: best_fit = 0.0382566
Gen 650: best_fit = 0.0378624
Gen 700: best_fit = 0.0374913
Gen 750: best_fit = 0.0369478
Gen 800: best_fit = 0.0366187
Gen 850: best_fit = 0.0362883
Gen 900: best_fit = 0.0360671
Gen 950: best_fit = 0.0357895
Gen 1000: best_fit = 0.035558
Gen 1050: best_fit = 0.0353319
Gen 1100: best_fit = 0.0351541
Gen 1150: best_fit = 0.0349426
Gen 1200: best_fit = 0.0346679
Gen 1250: best_fit = 0.0344511
Gen 1300: best_fit = 0.034294
Gen 1350: best_fit = 0.0341323
