Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\build_local\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 2 --generations 10000 --log_every 50 --nsubpop 8 --cchihh_op_stats 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\past_results\ablation_cchihh_stable\CCHIHH_stable_opstats_seed2.csv' --cchihh_op_stats_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH op stats: C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\past_results\ablation_cchihh_stable\CCHIHH_stable_opstats_seed2.csv
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8085
Gen 50: best_fit = 55.7509
Gen 100: best_fit = 55.7124
Gen 150: best_fit = 55.7022
Gen 200: best_fit = 55.6831
Gen 250: best_fit = 55.6612
Gen 300: best_fit = 55.6357
Gen 350: best_fit = 55.6169
Gen 400: best_fit = 55.591
Gen 450: best_fit = 55.5737
Gen 500: best_fit = 55.5623
Gen 550: best_fit = 55.5389
Gen 600: best_fit = 55.5241
Gen 650: best_fit = 55.5167
Gen 700: best_fit = 55.5081
Gen 750: best_fit = 55.501
Gen 800: best_fit = 55.4887
Gen 850: best_fit = 55.4773
Gen 900: best_fit = 55.4647
Gen 950: best_fit = 55.4496
Gen 1000: best_fit = 55.4376
Gen 1050: best_fit = 55.4299
Gen 1100: best_fit = 55.4256
Gen 1150: best_fit = 55.4188
Gen 1200: best_fit = 55.4151
Gen 1250: best_fit = 55.4065
Gen 1300: best_fit = 55.3972
Gen 1350: best_fit = 55.3898
Gen 1400: best_fit = 55.3794
Gen 1450: best_fit = 55.3754
Gen 1500: best_fit = 55.3717
Gen 1550: best_fit = 55.3643
Gen 1600: best_fit = 55.3566
Gen 1650: best_fit = 55.3532
Gen 1700: best_fit = 55.3495
