Command: 'build_codex\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--data_dir' 'data' '--data_file' 'data_matrix_100.txt' '--generations' '10000' '--log_every' '50' '--nsubpop' '8' '--seed' '1' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5' '--cchihh_op_stats' 'results\operator_ablation\T100\full\op_freq_full_T100_run0.csv' '--cchihh_op_stats_every' '50' '--cchihh_global_stats' 'results\operator_ablation\T100\full\global_stats_full_T100_run0.csv' '--cchihh_global_stats_every' '50' '--cchihh_weight_log_offload' 'results\operator_ablation\T100\full\op_weights_offload_T100_run0.csv' '--cchihh_weight_log_seq' 'results\operator_ablation\T100\full\op_weights_seq_T100_run0.csv' '--cchihh_weight_log_dev' 'results\operator_ablation\T100\full\op_weights_dev_T100_run0.csv' '--cchihh_weight_log_every' '50' '--cchihh_reward_log' 'results\operator_ablation\T100\full\op_rewards_T100_run0.csv' '--op_mode' 'bandit'
=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: bandit
CCHIHH fixed ops: disabled
CCHIHH op stats: results\operator_ablation\T100\full\op_freq_full_T100_run0.csv
CCHIHH weight logs: results\operator_ablation\T100\full\op_weights_offload_T100_run0.csv | results\operator_ablation\T100\full\op_weights_seq_T100_run0.csv | results\operator_ablation\T100\full\op_weights_dev_T100_run0.csv
CCHIHH reward log: results\operator_ablation\T100\full\op_rewards_T100_run0.csv
CCHIHH global stats: results\operator_ablation\T100\full\global_stats_full_T100_run0.csv
=================================
[Initial] Loading data from: "data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.8788
[Normalization] f2_ref (energy) = 7.54135
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.394587
Gen 50: best_fit = 0.379105
Gen 100: best_fit = 0.372345
Gen 150: best_fit = 0.366667
Gen 200: best_fit = 0.362501
Gen 250: best_fit = 0.359805
Gen 300: best_fit = 0.358743
Gen 350: best_fit = 0.358008
Gen 400: best_fit = 0.356987
Gen 450: best_fit = 0.35666
Gen 500: best_fit = 0.355782
Gen 550: best_fit = 0.355577
Gen 600: best_fit = 0.35472
Gen 650: best_fit = 0.354148
Gen 700: best_fit = 0.35327
Gen 750: best_fit = 0.352698
Gen 800: best_fit = 0.352228
Gen 850: best_fit = 0.351615
Gen 900: best_fit = 0.35137
Gen 950: best_fit = 0.3509
Gen 1000: best_fit = 0.350594
Gen 1050: best_fit = 0.350308
Gen 1100: best_fit = 0.349838
Gen 1150: best_fit = 0.349757
Gen 1200: best_fit = 0.349369
Gen 1250: best_fit = 0.349164
Gen 1300: best_fit = 0.348899
Gen 1350: best_fit = 0.348633
Gen 1400: best_fit = 0.348102
Gen 1450: best_fit = 0.348082
Gen 1500: best_fit = 0.348021
Gen 1550: best_fit = 0.347959
Gen 1600: best_fit = 0.347735
Gen 1650: best_fit = 0.34753
Gen 1700: best_fit = 0.34751
Gen 1750: best_fit = 0.34751
Gen 1800: best_fit = 0.34751
Gen 1850: best_fit = 0.347469
Gen 1900: best_fit = 0.346959
Gen 1950: best_fit = 0.346734
Gen 2000: best_fit = 0.34653
Gen 2050: best_fit = 0.34653
Gen 2100: best_fit = 0.34653
Gen 2150: best_fit = 0.346121
Gen 2200: best_fit = 0.346121
Gen 2250: best_fit = 0.346101
Gen 2300: best_fit = 0.34608
Gen 2350: best_fit = 0.34604
Gen 2400: best_fit = 0.345611
Gen 2450: best_fit = 0.34557
Gen 2500: best_fit = 0.345366
Gen 2550: best_fit = 0.345366
Gen 2600: best_fit = 0.345366
Gen 2650: best_fit = 0.345366
Gen 2700: best_fit = 0.345345
Gen 2750: best_fit = 0.345345
Gen 2800: best_fit = 0.345141
Gen 2850: best_fit = 0.345141
Gen 2900: best_fit = 0.344937
Gen 2950: best_fit = 0.344937
Gen 3000: best_fit = 0.344508
Gen 3050: best_fit = 0.344508
Gen 3100: best_fit = 0.344508
Gen 3150: best_fit = 0.344508
Gen 3200: best_fit = 0.344508
Gen 3250: best_fit = 0.344508
Gen 3300: best_fit = 0.344487
Gen 3350: best_fit = 0.344487
Gen 3400: best_fit = 0.344487
Gen 3450: best_fit = 0.344467
Gen 3500: best_fit = 0.344467
Gen 3550: best_fit = 0.344467
Gen 3600: best_fit = 0.344467
Gen 3650: best_fit = 0.344263
Gen 3700: best_fit = 0.344058
Gen 3750: best_fit = 0.344058
Gen 3800: best_fit = 0.344058
Gen 3850: best_fit = 0.344058
Gen 3900: best_fit = 0.344018
Gen 3950: best_fit = 0.344018
Gen 4000: best_fit = 0.343793
Gen 4050: best_fit = 0.343589
Gen 4100: best_fit = 0.343589
Gen 4150: best_fit = 0.343589
Gen 4200: best_fit = 0.343589
Gen 4250: best_fit = 0.343589
Gen 4300: best_fit = 0.343384
Gen 4350: best_fit = 0.343384
Gen 4400: best_fit = 0.343384
Gen 4450: best_fit = 0.343384
Gen 4500: best_fit = 0.343384
Gen 4550: best_fit = 0.343384
Gen 4600: best_fit = 0.343384
Gen 4650: best_fit = 0.343384
Gen 4700: best_fit = 0.343384
Gen 4750: best_fit = 0.343384
Gen 4800: best_fit = 0.343384
Gen 4850: best_fit = 0.34316
Gen 4900: best_fit = 0.34316
Gen 4950: best_fit = 0.34316
Gen 5000: best_fit = 0.34316
Gen 5050: best_fit = 0.34316
Gen 5100: best_fit = 0.34316
Gen 5150: best_fit = 0.34316
Gen 5200: best_fit = 0.34316
Gen 5250: best_fit = 0.34316
Gen 5300: best_fit = 0.34316
Gen 5350: best_fit = 0.34316
Gen 5400: best_fit = 0.342894
Gen 5450: best_fit = 0.342894
Gen 5500: best_fit = 0.342894
Gen 5550: best_fit = 0.342894
Gen 5600: best_fit = 0.342894
Gen 5650: best_fit = 0.342894
Gen 5700: best_fit = 0.342894
Gen 5750: best_fit = 0.342894
Gen 5800: best_fit = 0.342894
Gen 5850: best_fit = 0.342894
Gen 5900: best_fit = 0.342894
Gen 5950: best_fit = 0.342894
Gen 6000: best_fit = 0.342894
Gen 6050: best_fit = 0.342894
Gen 6100: best_fit = 0.342894
Gen 6150: best_fit = 0.342894
Gen 6200: best_fit = 0.342894
Gen 6250: best_fit = 0.342894
Gen 6300: best_fit = 0.342894
Gen 6350: best_fit = 0.342894
Gen 6400: best_fit = 0.342894
Gen 6450: best_fit = 0.342894
Gen 6500: best_fit = 0.342894
Gen 6550: best_fit = 0.342894
Gen 6600: best_fit = 0.342894
Gen 6650: best_fit = 0.342894
Gen 6700: best_fit = 0.342894
Gen 6750: best_fit = 0.342894
Gen 6800: best_fit = 0.342894
Gen 6850: best_fit = 0.342894
Gen 6900: best_fit = 0.342894
Gen 6950: best_fit = 0.342894
Gen 7000: best_fit = 0.342894
Gen 7050: best_fit = 0.342894
Gen 7100: best_fit = 0.342894
Gen 7150: best_fit = 0.342894
Gen 7200: best_fit = 0.342894
Gen 7250: best_fit = 0.342894
Gen 7300: best_fit = 0.342894
Gen 7350: best_fit = 0.342894
Gen 7400: best_fit = 0.342894
Gen 7450: best_fit = 0.342894
Gen 7500: best_fit = 0.342894
Gen 7550: best_fit = 0.342894
Gen 7600: best_fit = 0.342894
Gen 7650: best_fit = 0.342894
Gen 7700: best_fit = 0.342894
Gen 7750: best_fit = 0.342894
Gen 7800: best_fit = 0.342894
Gen 7850: best_fit = 0.342894
Gen 7900: best_fit = 0.342894
Gen 7950: best_fit = 0.342894
Gen 8000: best_fit = 0.342894
Gen 8050: best_fit = 0.342894
Gen 8100: best_fit = 0.342894
Gen 8150: best_fit = 0.342894
Gen 8200: best_fit = 0.342894
Gen 8250: best_fit = 0.342894
Gen 8300: best_fit = 0.342894
Gen 8350: best_fit = 0.342894
Gen 8400: best_fit = 0.342894
Gen 8450: best_fit = 0.342894
Gen 8500: best_fit = 0.342894
Gen 8550: best_fit = 0.342894
Gen 8600: best_fit = 0.342894
Gen 8650: best_fit = 0.342894
Gen 8700: best_fit = 0.342894
Gen 8750: best_fit = 0.342894
Gen 8800: best_fit = 0.342894
Gen 8850: best_fit = 0.342894
Gen 8900: best_fit = 0.342894
Gen 8950: best_fit = 0.342894
Gen 9000: best_fit = 0.342894
Gen 9050: best_fit = 0.342894
Gen 9100: best_fit = 0.342894
Gen 9150: best_fit = 0.342894
Gen 9200: best_fit = 0.342894
Gen 9250: best_fit = 0.342894
Gen 9300: best_fit = 0.342894
Gen 9350: best_fit = 0.342894
Gen 9400: best_fit = 0.342629
Gen 9450: best_fit = 0.342629
Gen 9500: best_fit = 0.342629
Gen 9550: best_fit = 0.342629
Gen 9600: best_fit = 0.342629
Gen 9650: best_fit = 0.342629
Gen 9700: best_fit = 0.342629
Gen 9750: best_fit = 0.342629
Gen 9800: best_fit = 0.342629
Gen 9850: best_fit = 0.342629
Gen 9900: best_fit = 0.342629
Gen 9950: best_fit = 0.342629
Gen 10000: best_fit = 0.342629

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 0.342629
CCHIHH gate_blocked_total = 3702
CCHIHH gate_fallback_total = 3702
Time = 28.468 s
