Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation_tmp_20260206\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5 --no_blocks
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: disabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Full-space block: len=2400
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 1737.95
Gen 50: best_fit = 1694.56
Gen 100: best_fit = 1560.82
Gen 150: best_fit = 1487.18
Gen 200: best_fit = 1472.74
Gen 250: best_fit = 1442.06
Gen 300: best_fit = 1439.98
Gen 350: best_fit = 1423.81
Gen 400: best_fit = 1422.95
Gen 450: best_fit = 1420.53
Gen 500: best_fit = 1419.85
Gen 550: best_fit = 1416.34
Gen 600: best_fit = 1413.32
Gen 650: best_fit = 1409.56
Gen 700: best_fit = 1399.88
Gen 750: best_fit = 1396.75
Gen 800: best_fit = 1394.44
Gen 850: best_fit = 1386.51
Gen 900: best_fit = 1384.94
Gen 950: best_fit = 1382.07
Gen 1000: best_fit = 1381.38
Gen 1050: best_fit = 1377.98
Gen 1100: best_fit = 1376.59
Gen 1150: best_fit = 1374.95
Gen 1200: best_fit = 1371.44
Gen 1250: best_fit = 1370.03
