Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --seed 10 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T500_E200_D800.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2353.41
Gen 50: best_fit = 2076.29
Gen 100: best_fit = 1960.04
Gen 150: best_fit = 1919.8
Gen 200: best_fit = 1895.16
Gen 250: best_fit = 1827.96
Gen 300: best_fit = 1812.8
Gen 350: best_fit = 1800.74
Gen 400: best_fit = 1761.36
Gen 450: best_fit = 1724.78
Gen 500: best_fit = 1699.88
Gen 550: best_fit = 1690.57
Gen 600: best_fit = 1668.1
Gen 650: best_fit = 1647.92
Gen 700: best_fit = 1640.66
Gen 750: best_fit = 1634.02
Gen 800: best_fit = 1630.09
Gen 850: best_fit = 1625.48
Gen 900: best_fit = 1620.78
Gen 950: best_fit = 1601.29
Gen 1000: best_fit = 1597.31
Gen 1050: best_fit = 1594.35
Gen 1100: best_fit = 1591.55
Gen 1150: best_fit = 1570.87
Gen 1200: best_fit = 1565.74
Gen 1250: best_fit = 1550.01
Gen 1300: best_fit = 1542.57
