=== CED_Schedule Configuration ===
Data directory: ".\\\\data"
Data file: data_matrix_100.txt
Generations: 500
Population size: 40
Random seed: 23
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: ".\\\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8005
Gen 1: best_fit = 55.7869
Gen 2: best_fit = 55.7869
Gen 3: best_fit = 55.7835
Gen 4: best_fit = 55.7835
Gen 5: best_fit = 55.7835
Gen 6: best_fit = 55.7835
Gen 7: best_fit = 55.7798
Gen 8: best_fit = 55.7783
Gen 9: best_fit = 55.7752
Gen 10: best_fit = 55.7752
Gen 11: best_fit = 55.7752
Gen 12: best_fit = 55.7721
Gen 13: best_fit = 55.7721
Gen 14: best_fit = 55.7721
Gen 15: best_fit = 55.7721
Gen 16: best_fit = 55.7721
Gen 17: best_fit = 55.7715
Gen 18: best_fit = 55.7703
Gen 19: best_fit = 55.7629
Gen 20: best_fit = 55.7585
Gen 21: best_fit = 55.7585
Gen 22: best_fit = 55.7562
Gen 23: best_fit = 55.7562
Gen 24: best_fit = 55.7562
Gen 25: best_fit = 55.7562
Gen 26: best_fit = 55.7552
Gen 27: best_fit = 55.7552
Gen 28: best_fit = 55.752
Gen 29: best_fit = 55.752
Gen 30: best_fit = 55.7485
Gen 31: best_fit = 55.7466
Gen 32: best_fit = 55.7405
Gen 33: best_fit = 55.7405
Gen 34: best_fit = 55.7405
Gen 35: best_fit = 55.7405
Gen 36: best_fit = 55.7405
Gen 37: best_fit = 55.7405
Gen 38: best_fit = 55.7385
Gen 39: best_fit = 55.7342
Gen 40: best_fit = 55.7338
Gen 41: best_fit = 55.7338
Gen 42: best_fit = 55.7338
Gen 43: best_fit = 55.7338
Gen 44: best_fit = 55.7338
