Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --resample_gate 15 --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 4312.24
Gen 50: best_fit = 1624.93
Gen 100: best_fit = 1490.38
Gen 150: best_fit = 1469.48
Gen 200: best_fit = 1403.81
Gen 250: best_fit = 1367.62
Gen 300: best_fit = 1360.18
Gen 350: best_fit = 1356.81
Gen 400: best_fit = 1313.73
Gen 450: best_fit = 1300.63
Gen 500: best_fit = 1294.09
Gen 550: best_fit = 1286.51
Gen 600: best_fit = 1272.61
Gen 650: best_fit = 1249.26
Gen 700: best_fit = 1238.01
Gen 750: best_fit = 1232.61
Gen 800: best_fit = 1227.24
Gen 850: best_fit = 1207.08
Gen 900: best_fit = 1189.3
Gen 950: best_fit = 1182.11
Gen 1000: best_fit = 1175.37
Gen 1050: best_fit = 1159.58
Gen 1100: best_fit = 1153.4
Gen 1150: best_fit = 1151.66
Gen 1200: best_fit = 1150.35
Gen 1250: best_fit = 1148.9
Gen 1300: best_fit = 1147.74
